"","Id","Apellido","Nombre","Propio","Padre","Madre","PIngFam","IngFam","Hijos","Exitable","Extravagante","Pesimista","Timido","Sentimental","Dependiente","Responsable","Capaz","Sociable","Servicial","Etico","Conciente","Espiritual","Impulsivo","Desordenado","Temeroso","Vago","Apego","Empatia","Compasivo","VxH"
"2001",2001,"IEEDT","HXNNE","P","S","U",0.635436264,24067.7992,3,0.770380489,0.650157594,0.228891565,0.839029283,0.773215065,0.771001048,0.308633186,0.31074565,0.235239452,0.937755774,0.942543871,0.668209655,0.071263501,0.432081956,0.629009705,0.637186604,0.41426632,0.993103996,0.635439209,0.391713221,0.668055906
"2002",2002,"QBGGM","EFSDQ","S","S","S",0.040480934,888.6912865,0,0.190334129,0.350561187,0.87412205,0.815701937,0.859645317,0.004417665,0.956286421,0.640258877,0.620024739,0.315487661,0.33971989,0.012803029,0.883486564,0.635626663,0.546844561,0.161275503,0.978667045,0.755852819,0.726491081,0.402689109,0.577299151
"2003",2003,"HYTBY","OXHIO","P","P","P",0.833300519,9538.750972,3,0.717256325,0.367237935,0.040287596,0.000757258,0.576830325,0.147608114,0.748138625,0.195064817,0.992058046,0.283353415,0.881294863,0.686292212,0.788468361,0.759097231,0.367502781,0.932919683,0.730978516,0.737601509,0.676378338,0.532649382,0.664926333
"2004",2004,"YGBVR","NROUL","P","P","S",0.056655092,36689.77446,0,0.924261834,0.061475153,0.725990298,0.96946639,0.412149207,0.505214981,0.456053454,0.418686848,0.082577923,0.969127596,0.821181237,0.381745666,0.494361787,0.535878293,0.875205976,0.439116655,0.0367856,0.450734007,0.783466911,0.394388255,0.497553386
"2005",2005,"GBKJI","XBTPE","U","U","S",0.878437907,15619.10576,0,0.16605158,0.833053253,0.659052478,0.711535786,0.952491351,0.080156208,0.228206344,0.596680755,0.744522723,0.684209616,0.28641568,0.175590795,0.479550765,0.532370408,0.293475438,0.34721541,0.608372101,0.547918392,0.730970825,0.615270018,0.678366874
"2006",2006,"TTYAA","LVRFW","S","P","P",0.386700047,18460.18186,4,0.373968033,0.901986989,0.181970644,0.82798834,0.614628812,0.497866954,0.56166572,0.43056117,0.990396702,0.149415578,0.370863217,0.249535345,0.383186886,0.966264282,0.690934658,0.844582865,0.493515968,0.15558955,0.328342029,0.328505911,0.97158449
"2007",2007,"TNJLB","ULCVY","P","S","S",0.458448797,16798.71739,0,0.454911371,0.066317653,0.714919331,0.099961291,0.011357683,0.759035981,0.782383439,0.453366468,0.956594745,0.044724276,0.647739972,0.725005423,0.575955397,0.126256019,0.45593038,0.969743622,0.796315855,0.059191975,0.414527429,0.06563999,0.442839197
"2008",2008,"DQFVQ","KLDLI","P","S","P",0.585270918,13139.24864,0,0.889076193,0.016183766,0.650030757,0.024434362,0.644327929,0.664222059,0.312829003,0.079251665,0.863246162,0.679040976,0.331565222,0.129588673,0.158080914,0.348884655,0.830817055,0.440914954,0.968018518,0.143660363,0.693021219,0.297715786,0.511812586
"2009",2009,"NAJAJ","UWTKB","U","P","U",0.108443158,30567.06155,3,0.189046564,0.377130773,0.781573969,0.759081039,0.086161738,0.025916225,0.853948075,0.155329278,0.866694393,0.918863507,0.328258665,0.333081811,0.467473977,0.134444276,0.748919909,0.1274802,0.404469424,0.531801208,0.842491404,0.212468603,0.938990994
"2010",2010,"XNGRR","PIUEK","S","S","P",0.209462207,7189.249693,0,0.373221533,0.720497549,0.826640679,0.935915161,0.78754665,0.418946939,0.19928237,0.71560321,0.958301784,0.578771526,0.444654684,0.292617927,0.730883907,0.527391105,0.04873541,0.17166328,0.172176387,0.205131459,0.50962607,0.93906779,0.497860194
